Expdate,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,Delta,Gamma,Open Interest
2022-06-03,100.00,AAPL220603P00100000,0.19,0.095,0.05,0.18,1019,-0.0165,0.0016,519
2022-06-03,105.00,AAPL220603P00105000,0.28,0.125,0.23,0.35,251,-0.0247,0.0024,552
2022-06-03,110.00,AAPL220603P00110000,0.38,0.125,0.35,0.48,429,-0.0373,0.0036,459
2022-06-03,115.00,AAPL220603P00115000,0.62,0.225,0.55,0.6,585,-0.0566,0.0053,253
2022-06-03,120.00,AAPL220603P00120000,0.9,0.275,0.88,0.93,2833,-0.0857,0.0078,1713
2022-06-03,125.00,AAPL220603P00125000,1.37,0.37,1.38,1.45,5510,-0.1289,0.011,930
2022-06-03,130.00,AAPL220603P00130000,2.14,0.56,2.15,2.24,3619,-0.1904,0.0151,1057
2022-06-03,135.00,AAPL220603P00135000,3.36,0.895,3.25,3.45,1664,-0.2738,0.0196,1211
2022-06-03,140.00,AAPL220603P00140000,4.85,1.1,4.85,5.1,4013,-0.3801,0.0237,1794
2022-06-03,145.00,AAPL220603P00145000,7.32,1.795,7.1,7.3,2207,-0.506,0.0263,3881
2022-06-03,150.00,AAPL220603P00150000,10.1,2.2,9.85,10.3,1374,-0.6414,0.0261,11899
2022-06-03,155.00,AAPL220603P00155000,15.12,4.12,12.45,16,448,-0.7671,0.0225,4833
2022-06-03,160.00,AAPL220603P00160000,18.3,3.5,17.8,20.45,145,-0.863,0.0167,26269
2022-06-03,165.00,AAPL220603P00165000,23.78,4.63,21.05,25,123,-0.9232,0.0111,4478
2022-06-03,170.00,AAPL220603P00170000,28.1,4.2,25.85,28.75,24,-0.9566,0.0072,560
2022-06-03,175.00,AAPL220603P00175000,33.22,4.47,31,34.85,9,-0.9745,0.0047,192
2022-06-03,180.00,AAPL220603P00180000,40.3,6.6,36.2,39.7,8,-0.9844,0.0032,63
2022-06-03,185.00,AAPL220603P00185000,32.62,0,40.95,44.5,0,-0.9902,0.0023,7
2022-06-03,190.00,AAPL220603P00190000,45.85,2.2,45.65,49.5,6,-0.9938,0.0018,47
2022-06-10,100.00,AAPL220610P00100000,0.28,0.105,0.26,0.37,232,-0.0228,0.002,341
2022-06-10,105.00,AAPL220610P00105000,0.48,0.215,0.35,0.5,56,-0.0337,0.0029,45
2022-06-10,110.00,AAPL220610P00110000,0.82,0.425,0.54,0.61,574,-0.0495,0.0041,174
2022-06-10,115.00,AAPL220610P00115000,0.91,0.305,0.83,0.9,207,-0.0724,0.0059,229
2022-06-10,120.00,AAPL220610P00120000,1.39,0.47,1.24,1.32,1692,-0.1049,0.0082,434
2022-06-10,125.00,AAPL220610P00125000,2.04,0.645,1.85,1.95,375,-0.1504,0.0111,715
2022-06-10,130.00,AAPL220610P00130000,2.75,0.665,2.73,2.84,955,-0.2115,0.0144,1317
2022-06-10,135.00,AAPL220610P00135000,4,0.925,3.95,4.15,791,-0.2904,0.018,1436
2022-06-10,140.00,AAPL220610P00140000,5.7,1.25,5.6,5.8,3530,-0.3872,0.0212,961
2022-06-10,145.00,AAPL220610P00145000,8.16,1.91,7.85,8.05,827,-0.4997,0.0234,816
2022-06-10,150.00,AAPL220610P00150000,11.79,3.14,10.65,10.95,648,-0.6204,0.0236,993
2022-06-10,155.00,AAPL220610P00155000,14.75,3.125,12.95,16.3,215,-0.7359,0.0212,14815
2022-06-10,160.00,AAPL220610P00160000,19.8,4.55,17.15,20.8,58,-0.8313,0.017,15241
2022-06-10,165.00,AAPL220610P00165000,24.5,5.05,21.4,25.05,213,-0.8984,0.0123,838
2022-06-10,170.00,AAPL220610P00170000,24.95,0.925,25.95,29.95,6,-0.9398,0.0084,249
2022-06-10,175.00,AAPL220610P00175000,33.95,5.125,31.5,33.65,207,-0.9638,0.0058,247
2022-06-10,180.00,AAPL220610P00180000,39,5.275,35.7,39.9,1,-0.9776,0.004,208
2022-06-10,185.00,AAPL220610P00185000,22.28,0,40.95,44.6,0,-0.986,0.0029,1
2022-06-10,190.00,AAPL220610P00190000,0,0,45.65,49.5,0,-0.9913,0.0022,0
2022-06-17,116.25,AAPL220617P00116250,1.33,0.415,1.24,1.31,393,-0.094,0.0067,5028
2022-06-17,117.50,AAPL220617P00117500,1.46,0.45,1.34,1.44,341,-0.1024,0.0072,4256
2022-06-17,118.75,AAPL220617P00118750,1.56,0.445,1.48,1.57,535,-0.1115,0.0078,2880
2022-06-17,120.00,AAPL220617P00120000,1.64,0.415,1.63,1.68,15341,-0.1212,0.0083,27604
2022-06-17,121.25,AAPL220617P00121250,1.85,0.505,1.78,1.87,742,-0.1317,0.0089,6327
2022-06-17,122.50,AAPL220617P00122500,2,0.52,1.95,2.04,1836,-0.1429,0.0096,9305
2022-06-17,125.00,AAPL220617P00125000,2.35,0.565,2.33,2.43,10227,-0.1677,0.0109,22741
2022-06-17,130.00,AAPL220617P00130000,3.34,0.765,3.3,3.4,17915,-0.2278,0.0138,34588
2022-06-17,135.00,AAPL220617P00135000,4.7,1.05,4.6,4.75,17721,-0.3026,0.0167,33401
2022-06-17,140.00,AAPL220617P00140000,6.37,1.295,6.3,6.5,20078,-0.3922,0.0193,65212
2022-06-17,145.00,AAPL220617P00145000,8.6,1.675,8.55,8.75,14729,-0.4944,0.0211,40739
2022-06-17,150.00,AAPL220617P00150000,11.43,2.13,11.3,11.55,16031,-0.6035,0.0215,72824
2022-06-17,155.00,AAPL220617P00155000,14.8,2.575,13.3,15,6654,-0.71,0.02,40011
2022-06-17,160.00,AAPL220617P00160000,19,3.225,17.75,21,2515,-0.8026,0.0168,44709
2022-06-17,165.00,AAPL220617P00165000,22.93,3.13,21.65,25.5,1002,-0.8733,0.013,46087
2022-06-17,170.00,AAPL220617P00170000,27.88,3.68,26.25,30,189,-0.9209,0.0094,34160
2022-06-17,175.00,AAPL220617P00175000,33,4.075,30.8,34.7,113,-0.9504,0.0067,13613
2022-06-17,180.00,AAPL220617P00180000,39.2,5.4,35.35,39.9,132,-0.9684,0.0048,12949
2022-06-17,185.00,AAPL220617P00185000,43.4,4.7,40.75,44.7,100,-0.9795,0.0036,29304
2022-06-17,190.00,AAPL220617P00190000,47.9,4.25,45.65,49.3,23,-0.9867,0.0027,4869
2022-06-24,115.00,AAPL220624P00115000,1.36,0.35,1.24,1.42,115,-0.0953,0.0064,255
2022-06-24,120.00,AAPL220624P00120000,1.98,0.54,1.83,1.98,310,-0.1307,0.0084,3794
2022-06-24,125.00,AAPL220624P00125000,2.7,0.65,2.6,2.74,785,-0.1774,0.0107,12315
2022-06-24,130.00,AAPL220624P00130000,3.95,1.045,3.55,3.75,577,-0.2365,0.0133,11202
2022-06-24,135.00,AAPL220624P00135000,5.2,1.2,4.95,5.25,367,-0.3088,0.0159,2923
2022-06-24,140.00,AAPL220624P00140000,6.88,1.405,6.65,7,1213,-0.3942,0.0183,605
2022-06-24,145.00,AAPL220624P00145000,9,1.625,8.9,9.2,1037,-0.4909,0.02,965
2022-06-24,150.00,AAPL220624P00150000,12.1,2.375,11.6,12.1,734,-0.5943,0.0204,610
2022-06-24,155.00,AAPL220624P00155000,16.11,3.51,13.15,17.1,125,-0.6961,0.0193,380
2022-06-24,160.00,AAPL220624P00160000,18.88,3.255,17.85,21.35,315,-0.7864,0.0167,159
2022-06-24,165.00,AAPL220624P00165000,24.5,4.475,22.05,25.5,16,-0.8584,0.0133,33
2022-06-24,170.00,AAPL220624P00170000,28.53,4.205,26.35,30.5,2,-0.9102,0.01,11
2022-06-24,175.00,AAPL220624P00175000,34.59,5.615,31.1,35,1,-0.9445,0.0072,5
2022-06-24,180.00,AAPL220624P00180000,34.08,0,35.85,40,0,-0.9659,0.0052,1
2022-06-24,185.00,AAPL220624P00185000,33,0,40.75,45,0,-0.979,0.0038,19000
2022-06-24,190.00,AAPL220624P00190000,0,0,45.95,50,0,-0.9873,0.0029,0